127.0.0.1 - - [06/Jun/2026 22:55:33] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 22:56:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 22:56:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 22:56:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 22:56:33] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 22:56:33] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 22:57:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:12:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:12:44] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:12:44] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:12:45] code 404, message File not found
127.0.0.1 - - [06/Jun/2026 23:12:45] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Jun/2026 23:22:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:22:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:22:54] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:22:54] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:23:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:23:19] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:23:19] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:24:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:24:11] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:24:11] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:24:26] "GET /login.html?redirect=.%2Findex.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:24:26] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:24:26] "GET /login.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:24:26] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:25:46] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:25:46] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:25:46] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:26:21] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:26:21] "GET /admin.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:26:21] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:27:44] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:27:44] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:27:44] "GET /admin.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:27:59] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:27:59] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:41:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:41:34] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:41:34] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:41:34] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:41:40] "GET /admin.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:41:40] "GET /admin.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:42:45] "GET /index.html?check=2 HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:42:45] "GET /app.js?v=20260606-roulette HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:43:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:45:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:45:48] "GET /app.js?v=20260606-roulette HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:45:48] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:46:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:02] "GET /app.js?v=20260606-roulette HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:02] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:44] "GET /login.html?redirect=.%2Findex.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:44] "GET /login.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:45] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:45] "GET /app.js?v=20260606-roulette HTTP/1.1" 304 -
127.0.0.1 - - [06/Jun/2026 23:46:49] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jun/2026 23:46:49] "GET /admin.js HTTP/1.1" 200 -
